time	open	high	low	close	volume
2013-06-05	3.67	3.67	3.67	3.67	1400
2013-06-06	3.59	3.74	3.59	3.74	120
2013-06-07	3.74	3.74	3.74	3.74	0
2013-06-10	3.74	3.74	3.74	3.74	550
2013-06-11	3.67	3.67	3.67	3.67	8250
2013-06-12	3.74	3.74	3.74	3.74	10
2013-06-13	3.74	3.74	3.74	3.74	0
2013-06-14	3.74	3.82	3.74	3.82	640
2013-06-17	3.67	3.67	3.67	3.67	1200
2013-06-18	3.67	3.67	3.67	3.67	0
2013-06-19	3.74	3.82	3.67	3.82	770
2013-06-20	3.82	3.82	3.82	3.82	0
2013-06-21	3.74	3.74	3.67	3.74	1690
2013-06-24	3.74	3.74	3.74	3.74	800
2013-06-25	3.74	3.74	3.74	3.74	8200
2013-06-26	3.74	3.74	3.74	3.74	10860
2013-06-27	3.74	3.74	3.74	3.74	0
2013-06-28	3.82	3.82	3.74	3.74	3510
2013-07-01	3.74	3.89	3.74	3.89	12440
2013-07-02	3.82	3.89	3.82	3.89	130
2013-07-03	3.82	3.82	3.82	3.82	100
2013-07-04	3.82	3.82	3.82	3.82	0
2013-07-05	3.89	3.89	3.89	3.89	100
2013-07-08	3.89	3.89	3.89	3.89	10
2013-07-09	3.74	3.74	3.74	3.74	10
2013-07-10	3.74	3.89	3.74	3.89	5300
2013-07-11	3.89	3.89	3.89	3.89	0
2013-07-12	3.89	3.89	3.82	3.89	3550
2013-07-15	3.74	3.74	3.74	3.74	40
2013-07-16	3.74	3.82	3.74	3.82	2250
2013-07-17	3.74	3.74	3.74	3.74	16200
2013-07-18	3.74	3.82	3.74	3.82	11690
2013-07-19	3.74	3.74	3.74	3.74	9400
2013-07-22	3.74	3.74	3.74	3.74	8100
2013-07-23	3.67	3.67	3.67	3.67	40
2013-07-24	3.67	3.67	3.67	3.67	6050
2013-07-25	3.59	3.59	3.59	3.59	10
2013-07-26	3.67	3.67	3.59	3.59	3500
2013-07-29	3.45	3.45	3.45	3.45	290
2013-07-30	3.67	3.67	3.52	3.67	670
2013-07-31	3.67	3.67	3.67	3.67	0
2013-08-01	3.89	3.89	3.89	3.89	20
2013-08-02	3.89	3.89	3.89	3.89	0
2013-08-05	3.89	3.89	3.89	3.89	0
2013-08-06	3.67	3.67	3.67	3.67	770
2013-08-07	3.59	3.89	3.52	3.89	2800
2013-08-08	3.89	3.89	3.89	3.89	0
2013-08-09	3.89	3.89	3.89	3.89	0
2013-08-12	3.89	3.89	3.89	3.89	0
2013-08-13	3.89	3.89	3.89	3.89	0
2013-08-14	3.89	3.89	3.89	3.89	0
2013-08-15	3.89	3.89	3.89	3.89	0
2013-08-16	3.67	3.67	3.67	3.67	100
2013-08-19	3.67	3.67	3.67	3.67	0
2013-08-20	3.52	3.52	3.52	3.52	1400
2013-08-21	3.52	3.67	3.52	3.67	7900
2013-08-22	3.82	3.82	3.82	3.82	10
2013-08-23	3.59	3.59	3.59	3.59	1200
2013-08-26	3.52	3.67	3.52	3.67	1520
2013-08-27	3.52	3.52	3.52	3.52	8700
2013-08-28	3.52	3.52	3.45	3.45	3100
2013-08-29	3.45	3.45	3.45	3.45	300
2013-08-30	3.45	3.45	3.45	3.45	700
2013-09-03	3.67	3.67	3.67	3.67	10
2013-09-04	3.45	3.67	3.45	3.67	4540
2013-09-05	3.67	3.67	3.67	3.67	0
2013-09-06	3.45	3.45	3.45	3.45	4000
2013-09-09	3.52	3.52	3.52	3.52	10
2013-09-10	3.67	3.67	3.37	3.52	930
2013-09-11	3.59	3.59	3.37	3.37	1310
2013-09-12	3.52	3.52	3.52	3.52	30
2013-09-13	3.52	3.52	3.52	3.52	0
2013-09-16	3.59	3.59	3.3	3.59	320
2013-09-17	3.37	3.37	3.37	3.37	3000
2013-09-18	3.52	3.52	3.52	3.52	10
2013-09-19	3.52	3.52	3.52	3.52	0
2013-09-20	3.3	3.52	3.3	3.52	400
2013-09-23	3.37	3.37	3.37	3.37	90
2013-09-24	3.37	3.37	3.37	3.37	1000
2013-09-25	3.52	3.52	3.52	3.52	10
2013-09-26	3.52	3.52	3.52	3.52	0
2013-09-27	3.52	3.52	3.52	3.52	0
2013-09-30	3.52	3.52	3.52	3.52	0
2013-10-01	3.52	3.52	3.52	3.52	0
2013-10-02	3.52	3.52	3.52	3.52	0
2013-10-03	3.45	3.45	3.37	3.37	1000
2013-10-04	3.37	3.37	3.37	3.37	130
2013-10-07	3.15	3.45	3.15	3.37	2880
2013-10-08	3.22	3.22	3.15	3.15	6100
2013-10-09	3.15	3.22	3.15	3.22	1160
2013-10-10	3.3	3.45	3.3	3.45	970
2013-10-11	3.67	3.67	3.67	3.67	50
2013-10-14	3.89	3.89	3.45	3.45	20
2013-10-15	3.3	3.3	3.3	3.3	730
2013-10-16	3.22	3.52	3.15	3.52	6510
2013-10-17	3.52	3.52	3.52	3.52	0
2013-10-18	3.37	3.37	3.3	3.3	60
2013-10-21	3.37	3.37	3.37	3.37	530
2013-10-22	3.37	3.37	3.22	3.3	3110
2013-10-23	3.22	3.37	3.22	3.37	1100
2013-10-24	3.37	3.37	3.37	3.37	0
2013-10-25	3.37	3.37	3.22	3.22	1230
2013-10-28	3.3	3.3	3.22	3.3	3220
2013-10-29	3.3	3.3	3.3	3.3	0
2013-10-30	3.3	3.3	3.3	3.3	0
2013-10-31	3.3	3.3	3.3	3.3	2000
2013-11-01	3.3	3.3	3.3	3.3	0
2013-11-04	3.3	3.3	3.3	3.3	0
2013-11-05	3.3	3.45	3.3	3.45	2110
2013-11-06	3.52	3.52	3.37	3.37	350
2013-11-07	3.45	3.45	3.45	3.45	1000
2013-11-08	3.45	3.45	3.37	3.37	440
2013-11-11	3.37	3.45	3.37	3.37	3200
2013-11-12	3.37	3.59	3.37	3.59	2000
2013-11-13	3.59	3.59	3.59	3.59	0
2013-11-14	3.45	3.52	3.45	3.52	310
2013-11-15	3.3	3.3	3.3	3.3	2000
2013-11-18	3.45	3.52	3.45	3.52	190
2013-11-19	3.52	3.74	3.52	3.74	1060
2013-11-20	3.52	3.67	3.52	3.67	2310
2013-11-21	3.52	3.74	3.45	3.74	8990
2013-11-22	3.52	3.52	3.52	3.52	10
2013-11-25	3.67	3.67	3.67	3.67	100
2013-11-26	3.67	3.67	3.67	3.67	0
2013-11-27	3.52	3.67	3.52	3.67	10050
2013-11-28	3.52	3.52	3.52	3.52	340
2013-11-29	3.59	3.74	3.59	3.74	17680
2013-12-02	3.97	3.97	3.97	3.97	52060
2013-12-03	4.19	4.19	4.19	4.19	34390
2013-12-04	4.42	4.42	4.19	4.34	43520
2013-12-05	4.34	4.34	4.04	4.04	7510
2013-12-06	3.89	3.89	3.82	3.89	23960
2013-12-09	3.82	4.04	3.82	4.04	20
2013-12-10	3.89	4.04	3.89	4.04	10170
2013-12-11	3.89	3.89	3.82	3.82	110
2013-12-12	3.59	3.82	3.59	3.82	2040
2013-12-13	3.97	3.97	3.97	3.97	10
2013-12-16	3.97	3.97	3.97	3.97	0
2013-12-17	3.89	3.89	3.74	3.89	2990
2013-12-18	3.67	3.82	3.67	3.82	10010
2013-12-19	3.74	3.89	3.74	3.89	11050
2013-12-20	3.89	3.89	3.67	3.67	26250
2013-12-23	3.67	3.82	3.67	3.82	750
2013-12-24	3.74	3.82	3.74	3.82	120
2013-12-25	3.89	3.89	3.89	3.89	100
2013-12-26	3.89	3.89	3.89	3.89	2000
2013-12-27	3.97	3.97	3.97	3.97	110
2013-12-30	3.74	3.74	3.74	3.74	2540
2013-12-31	3.74	3.89	3.74	3.89	200
2014-01-02	3.89	3.89	3.89	3.89	0
2014-01-03	3.89	3.89	3.89	3.89	0
2014-01-06	3.67	3.89	3.67	3.89	7970
2014-01-07	3.67	3.89	3.67	3.89	3550
2014-01-08	3.74	3.74	3.67	3.67	420
2014-01-09	3.89	3.89	3.67	3.74	24600
2014-01-10	3.74	3.89	3.74	3.74	15820
2014-01-13	3.74	3.82	3.67	3.67	4650
2014-01-14	3.74	3.82	3.74	3.74	3020
2014-01-15	3.74	3.74	3.74	3.74	6450
2014-01-16	3.82	3.82	3.74	3.74	8770
2014-01-17	3.82	3.82	3.74	3.74	17720
2014-01-20	3.82	3.89	3.74	3.74	7620
2014-01-21	3.82	3.82	3.74	3.74	12780
2014-01-22	3.82	3.97	3.82	3.97	6740
2014-01-23	3.89	4.12	3.89	4.12	4700
2014-01-24	4.19	4.19	3.89	4.19	130
2014-01-27	4.19	4.19	4.19	4.19	0
2014-02-06	3.97	4.12	3.97	4.12	20
2014-02-07	4.12	4.12	4.12	4.12	1000
2014-02-10	4.12	4.12	4.12	4.12	0
2014-02-11	4.12	4.27	4.12	4.27	22560
2014-02-12	4.27	4.34	4.27	4.34	5630
2014-02-13	4.27	4.34	4.27	4.34	4300
2014-02-14	4.04	4.42	4.04	4.42	4840
2014-02-17	4.42	4.57	4.42	4.49	4500
2014-02-18	4.49	4.49	4.49	4.49	0
2014-02-19	4.49	4.64	4.49	4.57	6850
2014-02-20	4.57	4.72	4.27	4.49	20210
2014-02-21	4.49	4.49	4.49	4.49	100
2014-02-24	4.57	4.57	4.49	4.49	250
2014-02-25	4.19	4.49	4.19	4.49	7860
2014-02-26	4.42	4.49	4.42	4.49	10000
2014-02-27	4.49	4.57	4.34	4.34	24880
2014-02-28	4.42	4.49	4.34	4.49	20680
2014-03-03	4.49	4.49	4.19	4.19	650
2014-03-04	4.42	4.42	4.04	4.04	6400
2014-03-05	3.97	4.27	3.97	4.27	20260
2014-03-06	4.19	4.49	4.19	4.27	69820
2014-03-07	4.34	4.49	4.34	4.49	13580
2014-03-10	4.64	4.79	4.64	4.79	55280
2014-03-11	5.02	5.09	4.94	5.09	140490
2014-03-12	5.17	5.32	5.17	5.24	36770
2014-03-13	4.94	5.17	4.94	5.02	12080
2014-03-14	4.87	5.17	4.87	5.02	29800
2014-03-17	5.09	5.17	5.02	5.09	53950
2014-03-18	4.94	5.32	4.94	5.32	37450
2014-03-19	5.24	5.32	5.02	5.17	41100
2014-03-20	5.17	5.24	5.02	5.17	24250
2014-03-21	5.17	5.32	5.09	5.24	70550
2014-03-24	5.17	5.54	5.17	5.54	201340
2014-03-25	5.62	5.69	5.47	5.47	36530
2014-03-26	5.77	5.77	5.24	5.47	33180
2014-03-27	5.54	5.54	5.09	5.17	56690
2014-03-28	5.02	5.32	4.94	5.24	21130
2014-03-31	5.09	5.24	5.02	5.02	26990
2014-04-01	4.94	5.09	4.94	5.02	30240
2014-04-02	5.02	5.17	5.02	5.02	700
2014-04-03	4.72	5.09	4.72	4.87	33430
2014-04-04	5.02	5.09	4.57	4.94	16600
2014-04-07	4.64	5.09	4.64	4.94	10170
2014-04-08	4.94	5.02	4.87	5.02	11620
2014-04-10	5.02	5.09	4.87	5.02	19950
2014-04-11	5.02	5.02	4.94	4.94	36250
2014-04-14	5.02	5.02	4.94	5.02	31370
2014-04-15	4.94	5.02	4.72	4.94	19160
2014-04-16	4.72	4.94	4.64	4.87	17040
2014-04-17	4.79	4.87	4.57	4.87	13030
2014-04-18	4.64	4.79	4.64	4.79	100
2014-04-21	4.94	4.94	4.49	4.49	210
2014-04-22	4.79	4.79	4.34	4.64	700
2014-04-23	4.72	4.79	4.49	4.79	2280
2014-04-24	4.79	4.79	4.49	4.57	9510
2014-04-25	4.57	4.64	4.57	4.57	470
2014-04-28	4.87	4.87	4.79	4.79	7710
2014-04-29	4.49	4.94	4.49	4.94	2130
2014-05-05	4.72	4.72	4.72	4.72	10
2014-05-06	4.42	4.94	4.42	4.94	20
2014-05-07	4.64	4.64	4.64	4.64	990
2014-05-08	4.87	4.87	4.34	4.34	14740
2014-05-09	4.57	4.64	4.12	4.12	10140
2014-05-12	4.12	4.34	3.89	3.89	49020
2014-05-13	4.04	4.04	4.04	4.04	4000
2014-05-14	4.27	4.27	4.19	4.27	6800
2014-05-15	4.49	4.49	4.27	4.34	2210
2014-05-16	4.04	4.57	4.04	4.49	3520
2014-05-19	4.49	4.79	4.49	4.79	610
2014-05-20	4.72	4.72	4.49	4.49	110
2014-05-21	4.27	4.79	4.27	4.72	1220
2014-05-22	4.42	4.42	4.42	4.42	850
2014-05-23	4.12	4.34	4.12	4.12	24070
2014-05-26	4.12	4.34	4.12	4.34	18270
2014-05-27	4.57	4.64	4.49	4.64	33170
2014-05-28	4.64	4.72	4.49	4.64	3300
2014-05-29	4.49	4.49	4.42	4.49	5500
2014-05-30	4.57	4.79	4.57	4.72	18950
2014-06-02	4.72	4.72	4.72	4.72	0
2014-06-03	4.49	4.57	4.49	4.57	980
2014-06-04	4.49	4.49	4.27	4.49	12060
2014-06-05	4.19	4.49	4.19	4.49	5010
2014-06-06	4.19	4.49	4.19	4.49	7450
2014-06-09	4.34	4.57	4.34	4.57	3380
2014-06-10	4.34	4.42	4.34	4.34	3660
2014-06-11	4.34	4.49	4.34	4.49	7730
2014-06-12	4.49	4.64	4.49	4.64	10660
2014-06-13	4.49	4.57	4.49	4.57	2500
2014-06-16	4.49	4.64	4.42	4.64	8400
2014-06-17	4.49	4.49	4.49	4.49	9220
2014-06-18	4.49	4.57	4.49	4.49	4440
2014-06-19	4.49	4.49	4.34	4.34	12890
2014-06-20	4.34	4.57	4.34	4.57	14140
2014-06-23	4.64	4.72	4.64	4.72	14540
2014-06-24	4.57	4.57	4.57	4.57	8020
2014-06-25	4.49	4.57	4.49	4.57	5320
2014-06-26	4.57	4.57	4.42	4.42	9200
2014-06-27	4.34	4.57	4.34	4.49	6840
2014-06-30	4.57	4.64	4.49	4.49	9330
2014-07-01	4.42	4.72	4.42	4.72	15360
2014-07-02	4.72	4.87	4.72	4.87	27000
2014-07-03	4.87	4.87	4.72	4.72	11470
2014-07-04	4.79	4.94	4.72	4.94	16200
2014-07-07	4.94	4.94	4.94	4.94	0
2014-07-08	4.72	4.79	4.72	4.79	5860
2014-07-09	4.79	4.79	4.64	4.79	230
2014-07-10	4.64	4.79	4.57	4.64	3750
2014-07-11	4.79	4.87	4.64	4.87	12950
2014-07-14	4.79	4.79	4.64	4.64	10550
2014-07-15	4.72	4.72	4.64	4.72	21050
2014-07-16	4.87	5.02	4.64	5.02	25130
2014-07-17	4.79	5.02	4.72	5.02	8590
2014-07-18	4.72	4.94	4.72	4.94	100
2014-07-21	4.79	4.94	4.79	4.94	17790
2014-07-22	4.79	4.79	4.72	4.79	11130
2014-07-23	4.72	4.72	4.72	4.72	3630
2014-07-24	4.72	4.94	4.64	4.64	3610
2014-07-25	4.72	4.87	4.72	4.87	2370
2014-07-28	4.87	4.94	4.64	4.64	4340
2014-07-29	4.64	4.72	4.64	4.72	2410
2014-07-30	4.87	4.87	4.57	4.57	80
2014-07-31	4.79	4.79	4.57	4.72	2150
2014-08-01	4.72	4.72	4.72	4.72	30
2014-08-04	4.49	4.94	4.42	4.49	1770
2014-08-05	4.57	4.57	4.49	4.49	16500
2014-08-06	4.57	4.72	4.49	4.72	7150
2014-08-07	4.49	4.72	4.49	4.72	1620
2014-08-08	4.64	4.64	4.49	4.49	15310
2014-08-11	4.49	4.64	4.49	4.64	980
2014-08-12	4.49	4.64	4.49	4.64	1290
2014-08-13	4.49	4.49	4.49	4.49	160
2014-08-14	4.49	4.57	4.49	4.57	11650
2014-08-15	4.72	4.72	4.42	4.42	610
2014-08-18	4.42	4.57	4.42	4.57	8850
2014-08-19	4.42	4.57	4.42	4.57	50
2014-08-20	4.57	4.57	4.57	4.57	5000
2014-08-21	4.42	4.49	4.34	4.49	4160
2014-08-22	4.49	4.57	4.49	4.57	12300
2014-08-25	4.57	4.57	4.49	4.49	6750
2014-08-26	4.57	4.64	4.49	4.64	11400
2014-08-27	4.64	4.64	4.49	4.57	2020
2014-08-28	4.42	4.64	4.42	4.64	13570
2014-08-29	4.57	4.64	4.49	4.64	29230
2014-09-03	4.64	4.72	4.57	4.72	29010
2014-09-04	4.64	4.64	4.64	4.64	10
2014-09-05	4.64	4.64	4.57	4.57	2430
2014-09-08	4.72	4.79	4.49	4.57	16130
2014-09-09	4.57	4.64	4.34	4.57	63700
2014-09-10	4.42	4.57	4.42	4.57	3250
2014-09-11	4.49	4.57	4.49	4.57	2460
2014-09-12	4.57	4.57	4.49	4.57	10530
2014-09-15	4.57	4.64	4.57	4.64	35420
2014-09-16	4.64	4.64	4.49	4.57	13760
2014-09-17	4.57	4.64	4.57	4.64	22040
2014-09-18	4.57	4.57	4.57	4.57	500
2014-09-19	4.57	4.57	4.57	4.57	4010
2014-09-22	4.57	4.57	4.57	4.57	12350
2014-09-23	4.49	4.64	4.49	4.57	20120
2014-09-24	4.49	4.57	4.49	4.57	10120
2014-09-25	4.49	4.49	4.49	4.49	50
2014-09-26	4.49	4.72	4.42	4.42	8640
2014-09-29	4.42	4.49	4.42	4.49	14520
2014-09-30	4.49	4.49	4.42	4.49	2350
2014-10-01	4.42	4.57	4.42	4.57	5980
2014-10-02	4.57	4.57	4.57	4.57	3000
2014-10-03	4.49	4.49	4.49	4.49	8120
2014-10-06	4.49	4.57	4.49	4.49	7630
2014-10-07	4.57	4.57	4.49	4.57	9170
2014-10-08	4.64	4.64	4.57	4.57	3740
2014-10-09	4.64	4.64	4.57	4.57	1800
2014-10-10	4.64	4.64	4.57	4.57	18750
2014-10-13	4.49	4.57	4.49	4.49	5600
2014-10-14	4.57	4.79	4.57	4.57	5870
2014-10-15	4.57	4.57	4.49	4.49	8120
2014-10-16	4.57	4.57	4.42	4.57	14210
2014-10-17	4.57	4.64	4.57	4.64	2000
2014-10-20	4.64	4.64	4.64	4.64	0
2014-10-21	4.64	4.64	4.64	4.64	10
2014-10-22	4.57	4.57	4.49	4.49	2530
2014-10-23	4.49	4.57	4.49	4.57	5380
2014-10-24	4.49	4.57	4.27	4.57	44560
2014-10-27	4.57	4.57	4.27	4.42	28210
2014-10-28	4.34	4.49	4.27	4.27	230
2014-10-29	4.49	4.49	4.27	4.42	5420
2014-10-30	4.34	4.49	4.34	4.34	3620
2014-10-31	4.34	4.49	4.34	4.49	3010
2014-11-03	4.27	4.49	4.27	4.49	5020
2014-11-04	4.34	4.49	4.27	4.49	2250
2014-11-05	4.49	4.49	4.27	4.27	15130
2014-11-06	4.34	4.49	4.34	4.49	8850
2014-11-07	4.34	4.34	4.34	4.34	300
2014-11-10	4.42	4.42	4.42	4.42	5530
2014-11-11	4.49	4.49	4.34	4.34	850
2014-11-12	4.34	4.34	4.34	4.34	200
2014-11-13	4.34	4.42	4.34	4.42	2400
2014-11-14	4.34	4.42	4.34	4.42	12270
2014-11-17	4.49	4.49	4.27	4.42	770
2014-11-18	4.34	4.49	4.34	4.49	230
2014-11-19	4.27	4.34	4.27	4.27	11280
2014-11-20	4.34	4.42	4.34	4.42	5350
2014-11-21	4.34	4.34	4.34	4.34	340
2014-11-24	4.27	4.27	4.27	4.27	1780
2014-11-25	4.34	4.42	4.34	4.42	270
2014-11-26	4.34	4.34	4.34	4.34	1800
2014-11-27	4.34	4.34	4.34	4.34	0
2014-11-28	4.34	4.34	4.34	4.34	0
2014-12-01	4.42	4.42	4.27	4.27	470
2014-12-02	4.27	4.27	4.19	4.27	14860
2014-12-03	4.27	4.42	4.27	4.42	13120
2014-12-04	4.27	4.42	4.27	4.42	710
2014-12-05	4.34	4.42	4.34	4.42	240
2014-12-08	4.27	4.34	4.27	4.27	2880
2014-12-09	4.27	4.27	4.27	4.27	3010
2014-12-10	4.27	4.34	4.27	4.34	870
2014-12-11	4.34	4.34	4.34	4.34	0
2014-12-12	4.12	4.12	4.12	4.12	50
2014-12-15	4.19	4.27	4.19	4.19	6100
2014-12-16	4.12	4.27	4.12	4.12	17700
2014-12-17	4.19	4.19	4.19	4.19	3100
2014-12-18	4.27	4.27	4.04	4.04	1650
2014-12-19	4.12	4.19	4.12	4.19	1450
2014-12-22	4.12	4.34	4.12	4.19	9870
2014-12-23	4.19	4.34	4.19	4.19	260
2014-12-24	4.27	4.27	4.19	4.19	9300
2014-12-25	4.27	4.27	4.19	4.19	8800
2014-12-26	4.27	4.42	4.19	4.42	18970
2014-12-29	4.42	4.42	4.19	4.19	90
2014-12-30	4.34	4.42	4.19	4.19	12970
2014-12-31	4.42	4.42	4.34	4.42	1280
2015-01-05	4.42	4.49	4.42	4.49	20
2015-01-06	4.19	4.49	4.19	4.49	80
2015-01-07	4.49	4.49	4.49	4.49	0
2015-01-08	4.27	4.42	4.27	4.42	1390
2015-01-09	4.27	4.49	4.27	4.49	13830
2015-01-12	4.34	4.49	4.34	4.49	270
2015-01-13	4.27	4.49	4.27	4.49	200
2015-01-14	4.49	4.57	4.42	4.49	11610
2015-01-15	4.49	4.49	4.49	4.49	1310
2015-01-16	4.49	4.49	4.49	4.49	0
2015-01-19	4.34	4.49	4.34	4.49	60
2015-01-20	4.49	4.49	4.49	4.49	0
2015-01-21	4.49	4.49	4.42	4.49	2130
2015-01-22	4.34	4.34	4.19	4.19	22590
2015-01-23	4.19	4.19	4.19	4.19	9500
2015-01-26	4.42	4.42	3.97	3.97	3220
2015-01-27	3.82	4.12	3.82	4.04	5890
2015-01-28	4.19	4.19	3.82	3.82	1030
2015-01-29	4.04	4.04	3.89	3.89	3150
2015-01-30	3.89	4.12	3.89	3.97	2980
2015-02-02	3.89	4.19	3.89	4.19	30
2015-02-03	3.97	4.19	3.97	3.97	330
2015-02-04	4.12	4.12	4.12	4.12	10
2015-02-05	4.19	4.19	4.19	4.19	130
2015-02-06	3.97	4.12	3.97	4.12	110
2015-02-09	3.89	4.12	3.89	4.12	4910
2015-02-10	4.12	4.34	4.12	4.34	1600
2015-02-11	4.12	4.12	4.04	4.04	510
2015-02-12	4.12	4.12	4.12	4.12	10
2015-02-13	4.12	4.12	4.12	4.12	0
2015-02-24	4.12	4.12	4.04	4.12	300
2015-02-25	4.04	4.04	3.89	4.04	420
2015-02-26	3.89	4.12	3.89	3.89	190
2015-02-27	4.12	4.12	4.04	4.04	250
2015-03-02	3.89	4.04	3.89	4.04	1120
2015-03-03	3.97	3.97	3.82	3.89	2130
2015-03-04	4.04	4.04	4.04	4.04	20
2015-03-05	4.04	4.04	3.89	3.89	370
2015-03-06	4.04	4.04	4.04	4.04	20
2015-03-09	4.04	4.12	3.89	3.89	1840
2015-03-10	3.89	3.89	3.82	3.82	1960
2015-03-11	3.74	3.74	3.74	3.74	80
2015-03-12	3.97	3.97	3.89	3.89	40
2015-03-13	3.89	3.97	3.89	3.89	300
2015-03-16	3.89	3.89	3.89	3.89	0
2015-03-17	3.89	3.89	3.89	3.89	38410
2015-03-18	3.67	3.97	3.67	3.67	200
2015-03-19	3.89	3.89	3.89	3.89	10
2015-03-20	3.89	3.89	3.89	3.89	0
2015-03-23	3.74	3.97	3.74	3.97	4440
2015-03-24	3.97	3.97	3.74	3.74	3660
2015-03-25	3.97	3.97	3.97	3.97	14330
2015-03-26	3.97	4.04	3.97	4.04	1020
2015-03-27	4.04	4.27	4.04	4.19	700
2015-03-30	4.19	4.42	4.19	4.42	1900
2015-03-31	4.42	4.42	4.42	4.42	710
2015-04-01	4.12	4.49	4.12	4.49	2560
2015-04-02	4.42	4.49	4.19	4.42	1670
2015-04-03	4.42	4.42	4.42	4.42	320
2015-04-06	4.42	4.42	4.34	4.34	320
2015-04-07	4.42	4.42	4.42	4.42	20
2015-04-08	4.12	4.12	4.12	4.12	980
2015-04-09	3.89	4.34	3.89	4.34	1330
2015-04-10	4.34	4.34	4.34	4.34	2000
2015-04-13	4.04	4.04	4.04	4.04	200
2015-04-14	4.04	4.27	4.04	4.27	6730
2015-04-15	4.04	4.27	4.04	4.12	620
2015-04-16	4.04	4.27	4.04	4.27	260
2015-04-17	4.04	4.27	4.04	4.27	4830
2015-04-20	4.27	4.27	4.27	4.27	0
2015-04-21	4.19	4.27	4.19	4.27	4560
2015-04-22	4.27	4.27	4.27	4.27	0
2015-04-23	4.19	4.19	4.19	4.19	1130
2015-04-24	4.19	4.27	4.19	4.19	5370
2015-04-27	4.12	4.34	4.04	4.34	880
2015-05-04	4.04	4.27	4.04	4.27	7050
2015-05-05	4.27	4.27	4.27	4.27	0
2015-05-06	4.27	4.27	4.27	4.27	50
2015-05-07	4.04	4.27	4.04	4.27	2050
2015-05-08	4.27	4.27	4.27	4.27	0
2015-05-11	4.04	4.04	4.04	4.04	130
2015-05-12	3.82	4.27	3.82	4.12	6150
2015-05-13	4.12	4.12	4.12	4.12	0
2015-05-14	4.12	4.12	4.12	4.12	0
2015-05-15	4.12	4.12	4.12	4.12	0
2015-05-18	3.89	3.89	3.89	3.89	10
2015-05-19	4.04	4.04	4.04	4.04	30
2015-05-20	3.82	3.82	3.82	3.82	60
2015-05-21	3.59	3.89	3.59	3.89	1360
2015-05-22	3.89	3.89	3.89	3.89	0
2015-05-25	3.89	3.89	3.89	3.89	60
2015-05-26	3.89	3.89	3.89	3.89	700
2015-05-27	3.89	4.12	3.89	4.12	120
2015-05-28	3.89	3.89	3.89	3.89	5110
2015-05-29	3.74	3.97	3.67	3.97	530
2015-06-01	3.97	3.97	3.97	3.97	10
2015-06-02	3.97	3.97	3.97	3.97	0
2015-06-03	3.97	3.97	3.97	3.97	0
2015-06-04	3.97	3.97	3.97	3.97	0
2015-06-05	3.97	4.12	3.74	3.74	3000
2015-06-08	3.74	3.97	3.74	3.74	1810
2015-06-09	3.67	3.67	3.67	3.67	700
2015-06-10	3.59	3.89	3.59	3.89	2450
2015-06-11	3.89	3.89	3.89	3.89	0
2015-06-12	3.67	3.82	3.67	3.82	2280
2015-06-15	3.74	3.74	3.74	3.74	710
2015-06-16	3.89	3.89	3.82	3.82	650
2015-06-17	3.74	3.74	3.74	3.74	860
2015-06-18	3.74	3.89	3.74	3.89	3050
2015-06-19	3.74	4.04	3.67	4.04	5050
2015-06-22	3.89	3.89	3.89	3.89	1100
2015-06-23	3.74	3.97	3.74	3.97	980
2015-06-24	3.89	3.89	3.89	3.89	20
2015-06-25	3.89	3.89	3.89	3.89	0
2015-06-26	3.89	3.89	3.89	3.89	0
2015-06-29	3.74	3.82	3.74	3.82	11190
2015-06-30	3.97	4.04	3.97	4.04	20
2015-07-01	4.04	4.04	4.04	4.04	0
2015-07-02	4.04	4.04	3.82	3.97	5660
2015-07-03	3.89	3.89	3.82	3.82	700
2015-07-06	3.97	3.97	3.89	3.89	110
2015-07-07	3.67	3.89	3.67	3.89	3380
2015-07-08	3.89	3.89	3.89	3.89	0
2015-07-09	3.82	3.82	3.67	3.82	400
2015-07-10	3.89	3.89	3.59	3.59	1320
2015-07-13	3.45	3.82	3.37	3.74	3610
2015-07-14	3.74	3.74	3.74	3.74	0
2015-07-15	3.82	3.82	3.82	3.82	10
2015-07-16	3.59	3.82	3.59	3.82	3100
2015-07-17	3.82	3.82	3.82	3.82	0
2015-07-20	3.82	3.82	3.82	3.82	0
2015-07-21	4.04	4.04	3.74	3.74	1130
2015-07-22	3.74	3.89	3.59	3.89	5200
2015-07-23	3.74	3.89	3.74	3.89	1500
2015-07-24	3.82	3.89	3.74	3.89	6680
2015-07-27	3.74	3.89	3.74	3.89	2930
2015-07-28	3.74	3.89	3.74	3.89	4010
2015-07-29	3.74	3.82	3.74	3.82	6020
2015-07-30	3.74	3.82	3.67	3.82	2810
2015-07-31	3.74	3.82	3.74	3.82	2340
2015-08-03	3.67	3.74	3.59	3.74	4030
2015-08-04	3.67	3.67	3.67	3.67	450
2015-08-05	3.67	3.74	3.67	3.74	100
2015-08-06	3.89	3.89	3.89	3.89	10
2015-08-07	4.04	4.04	4.04	4.04	10
2015-08-10	4.12	4.19	4.12	4.19	70
2015-08-11	4.19	4.19	4.19	4.19	0
2015-08-12	4.19	4.19	4.19	4.19	0
2015-08-13	4.19	4.19	4.19	4.19	0
2015-08-14	3.97	3.97	3.97	3.97	10
